dataset,method,n_seeds,auc_mean,auc_std,seed_42_auc,seed_123_auc,seed_2024_auc
credit,CNN-M1c,3,0.7648191232,0.0017456088,0.7636025640,0.7672877020,0.7635671036
credit,CNN-M2,3,0.7672147998,0.0006963486,0.7681844977,0.7665812344,0.7668786673
credit,CNN-M3-full,3,0.7699907707,0.0008139800,0.7691562977,0.7710947286,0.7697212857
credit,CNN-M3-noG,3,0.7700134460,0.0012904918,0.7692066969,0.7718345372,0.7689991039
credit,CNN-M3-noB,3,0.7662750140,0.0011252465,0.7658753871,0.7678088039,0.7651408510
credit,CNN-M3-corrB,3,0.7639766725,0.0004162137,0.7644864885,0.7639765519,0.7634669772
credit,CNN-M3-shapB,3,0.7663147820,0.0010902895,0.7665851113,0.7648649736,0.7674942612
credit,CNN-M3-RG,3,0.7628379262,0.0044826560,0.7665666574,0.7654135753,0.7565335459
credit,CNN-IGTD,3,0.7681924065,0.0001146616,0.7680907810,0.7683526501,0.7681337883
german,XGBoost,3,0.8054857143,0.0042978453,0.7996952381,0.8067809524,0.8099809524
german,LightGBM,3,0.7897142857,0.0084835281,0.7845333333,0.7829333333,0.8016761905
german,CatBoost,3,0.8076444444,0.0149716817,0.8092190476,0.7885714286,0.8251428571
german,MLP,3,0.7921269841,0.0101128488,0.7778285714,0.7990095238,0.7995428571
german,FT-Transformer,3,0.7619809524,0.0012014604,0.7616761905,0.7635809524,0.7606857143
german,CNN-M1,3,0.6798984127,0.0167321333,0.7027809524,0.6736761905,0.6632380952
german,CNN-M1c,3,0.7911365079,0.0010434356,0.7926095238,0.7904761905,0.7903238095
german,CNN-M2,3,0.7036952381,0.0091201835,0.7094857143,0.7107809524,0.6908190476
german,CNN-M3-full,3,0.7317841270,0.0425526974,0.6716190476,0.7629714286,0.7607619048
german,CNN-M3-noG,3,0.6922920635,0.0344372711,0.6449523810,0.7060571429,0.7258666667
german,CNN-M3-noB,3,0.7089269841,0.0548506992,0.6314666667,0.7440761905,0.7512380952
german,CNN-M3-corrB,3,0.7004444444,0.0186118361,0.6844952381,0.6902857143,0.7265523810
german,CNN-M3-shapB,3,0.7226158730,0.0431099123,0.6617142857,0.7506285714,0.7555047619
german,CNN-M3-RG,3,0.7252317460,0.0730946225,0.6218666667,0.7779047619,0.7759238095
german,CNN-IGTD,3,0.6599365079,0.0316208121,0.6329142857,0.7043047619,0.6425904762
telco,XGBoost,3,0.8433415959,0.0006528829,0.8425322942,0.8433613350,0.8441311586
telco,LightGBM,3,0.8410082159,0.0004745989,0.8416765640,0.8407274207,0.8406206630
telco,CatBoost,3,0.8458542957,0.0002281607,0.8458976660,0.8461095135,0.8455557075
telco,MLP,3,0.8374815954,0.0010047778,0.8370417756,0.8388716705,0.8365313401
telco,FT-Transformer,3,0.8454567342,0.0011699250,0.8466583151,0.8458409509,0.8438709365
telco,CNN-M1,3,0.8205148949,0.0022225055,0.8206627989,0.8177219561,0.8231599298
telco,CNN-M1c,3,0.8388864053,0.0032547338,0.8343327973,0.8405814628,0.8417449557
telco,CNN-M2,3,0.8198104049,0.0027422979,0.8188595935,0.8170296987,0.8235419224
telco,CNN-M3-full,3,0.8422173032,0.0034401018,0.8373587128,0.8444297467,0.8448634501
telco,CNN-M3-noG,3,0.8213322591,0.0000605179,0.8214167756,0.8212783242,0.8213016774
telco,CNN-M3-noB,3,0.8420591127,0.0016208052,0.8397774434,0.8430102020,0.8433896925
telco,CNN-M3-corrB,3,0.8429807324,0.0005536892,0.8422979276,0.8436540848,0.8429901850
telco,CNN-M3-shapB,3,0.8422173032,0.0034401018,0.8373587128,0.8444297467,0.8448634501
telco,CNN-M3-RG,3,0.8427013274,0.0026468899,0.8389951092,0.8450094080,0.8440994649
telco,CNN-IGTD,3,0.8217086914,0.0005855226,0.8223092039,0.8219021899,0.8209146805
sick,XGBoost,3,0.9975040200,0.0008051569,0.9964360285,0.9983800130,0.9976960184
sick,LightGBM,3,0.9973960208,0.0014502518,0.9953920369,0.9987760098,0.9980200158
sick,CatBoost,3,0.9964540284,0.0016756309,0.9941140471,0.9973000216,0.9979480164
sick,MLP,3,0.9695202438,0.0008731116,0.9698682411,0.9683202534,0.9703722370
sick,FT-Transformer,3,0.9786401709,0.0070300186,0.9861761106,0.9804881561,0.9692562460
sick,CNN-M1,3,0.9879160967,0.0029954606,0.9911080711,0.9839081287,0.9887320901
sick,CNN-M1c,3,0.9928840569,0.0023334800,0.9949960400,0.9940240478,0.9896320829
sick,CNN-M2,3,0.9883000936,0.0000881809,0.9881920945,0.9883000936,0.9884080927
sick,CNN-M3-full,3,0.9897520820,0.0042520657,0.9955000360,0.9853481172,0.9884080927
sick,CNN-M3-noG,3,0.9882520940,0.0029024392,0.9913600691,0.9843761250,0.9890200878
sick,CNN-M3-noB,3,0.9941680467,0.0008432441,0.9948520412,0.9946720426,0.9929800562
sick,CNN-M3-corrB,3,0.9928000576,0.0011049038,0.9942040464,0.9926920585,0.9915040680
sick,CNN-M3-shapB,3,0.9897520820,0.0042520657,0.9955000360,0.9853481172,0.9884080927
sick,CNN-M3-RG,3,0.9910240718,0.0025232919,0.9934480524,0.9920800634,0.9875440996
sick,CNN-IGTD,3,0.9895960832,0.0024295583,0.9887320901,0.9871481028,0.9929080567
australian,XGBoost,3,0.9289321789,0.0037576960,0.9242424242,0.9291125541,0.9334415584
australian,LightGBM,3,0.9242875180,0.0025292756,0.9232954545,0.9218073593,0.9277597403
australian,CatBoost,3,0.9270833333,0.0077074781,0.9185606061,0.9372294372,0.9254599567
australian,MLP,3,0.9209956710,0.0023064055,0.9242424242,0.9191017316,0.9196428571
australian,FT-Transformer,3,0.9052579365,0.0082431655,0.9021915584,0.8970508658,0.9165313853
australian,CNN-M1,3,0.8353625541,0.0060135581,0.8269751082,0.8407738095,0.8383387446
australian,CNN-M1c,3,0.8908730159,0.0148728880,0.8832521645,0.8777056277,0.9116612554
australian,CNN-M2,3,0.8304022367,0.0079516102,0.8195346320,0.8333333333,0.8383387446
australian,CNN-M3-full,3,0.8605699856,0.0170190698,0.8367153680,0.8697240260,0.8752705628
australian,CNN-M3-noG,3,0.8364898990,0.0003188613,0.8367153680,0.8367153680,0.8360389610
australian,CNN-M3-noB,3,0.8681457431,0.0059012601,0.8641774892,0.8637716450,0.8764880952
australian,CNN-M3-corrB,3,0.8645382395,0.0098451229,0.8563311688,0.8589015152,0.8783820346
australian,CNN-M3-shapB,3,0.8616071429,0.0238248917,0.8288690476,0.8848755411,0.8710768398
australian,CNN-M3-RG,3,0.8484848485,0.0364634573,0.8084415584,0.8403679654,0.8966450216
australian,CNN-IGTD,3,0.8026695527,0.0155976302,0.7847673160,0.8227813853,0.8004599567
cmc,XGBoost,3,0.7451591922,0.0023246853,0.7452018425,0.7422909603,0.7479847738
cmc,LightGBM,3,0.7389215874,0.0047628470,0.7451218732,0.7381005694,0.7335423197
cmc,CatBoost,3,0.7521378457,0.0088894428,0.7533587103,0.7623632525,0.7406915744
